year,series,region_or_material,value,unit,source,method
,required_recycling_rate_to_break_even_PVC,plastic_PVC,83.0,percent,"Li, Ward, Lin and Tukker 2024, Nature Communications 15:7527, results",transcribed
,labour_cost_per_kg_germany,plastic_waste,0.26,USD_per_kg,"Li, Ward, Lin and Tukker 2024, Nature Communications 15:7527, results",transcribed
,labour_cost_per_kg_thailand,plastic_waste,0.052,USD_per_kg,"Li, Ward, Lin and Tukker 2024, Nature Communications 15:7527, results",transcribed
,times_a_unit_of_metal_is_reused_low,iron_copper_nickel,2.0,count,"Reck and Graedel 2012, Science 337:690-695, p. 692",transcribed
,times_a_unit_of_metal_is_reused_high,iron_copper_nickel,3.0,count,"Reck and Graedel 2012, Science 337:690-695, p. 692",transcribed
,eolrr_best_attainable,platinum_group_metals,60.0,percent,"Reck and Graedel 2012, Science 337:690-695, p. 691",transcribed
,eolrr_nickel_life_cycle_efficiency,nickel,52.0,percent,"Reck and Graedel 2012, Science 337:690-695, p. 692, figure 2B caption",transcribed_figure_caption
,plateau_of_aggregate_recycling_rates,n/a,,OECD aggregate recycling rates have plateaued in recent decades,"Fullerton and Kinnaman 2024, NBER working paper 32981, abstract",qualitative
,economies_of_scale_in_sorting,n/a,,"capital-intensive sense-and-sort methods reach a lower cost per additional tonne recycled but require a high fixed outlay, so unit cost falls with scale before it rises with the rate","Fullerton and Kinnaman 2024, NBER working paper 32981, section on heterogeneity",qualitative
,recovery_grade_trade_off,n/a,,an MRF network-flow model in which profit rises with the recovery rate but not with grade beyond the concentration requirement; the cost-against-recovery results are shown only in figures 5 and 6 and are therefore not transcribed,"Ip, Testa, Raymond, Graves and Gutowski 2018, Resour. Conserv. Recycl. 131:192-205, section 4",qualitative
,mass_retention_raises_unit_cost,n/a,,"lower mass retention leaves less output to bear the same incurred cost and adds a disposal fee, so the cost per tonne of product rises as yield falls","Van Camp et al. 2024, Waste Management 189:300-313, section 4.1",qualitative
,quality_ceiling_is_material_specific,n/a,,"trace copper in scrap steel, fibre shortening in paper, silicon in aluminium and the aggregate fraction limit in concrete each cap the share of a stream that can re-enter its original use","Cullen 2017, J. Ind. Ecol. 21(3):483-486, table 1 (accepted version, Cambridge Apollo)",qualitative
,gap_no_explicit_cost_function_of_recovery_rate,n/a,,"No public study found gives cost or energy per tonne recovered as an explicit function of the recovery rate achieved for a single material stream. The assembled evidence is either a two-point ladder (initial versus deep sorting), a break-even rate, or an aggregate capital outlay for a stated rise in a national rate.","B4 literature search, 2026-09-17",not_found
,gap_mrf_cost_curve_in_figures_only,n/a,,Ip et al. 2018 models exactly the required object but reports the cost against recovery and the sensitivity to separation efficiency in figures 5 and 6 only; reading a figure is not permitted here.,"B4 literature search, 2026-09-17",not_found
,manual_kinnaman_shinkuma_yamamoto_2014,n/a,,"MANUAL: Kinnaman, Shinkuma and Yamamoto (2014), The socially optimal recycling rate: evidence from Japan, J. Environ. Econ. Manage. 68(1):54-70, doi 10.1016/j.jeem.2014.01.004. Estimates average social cost of municipal waste management as a function of the recycling rate, which is the single closest published object to the treatment-cost gradient. Paywalled at Elsevier.","B4 literature search, 2026-09-17",not_found
,manual_graedel_et_al_2011_jie,n/a,,"MANUAL: Graedel et al. (2011), What do we know about metal recycling rates?, J. Ind. Ecol. 15(3):355-366, doi 10.1111/j.1530-9290.2011.00342.x. Paywalled at Wiley; the USGS repository copy returns 403. Its content is the journal version of UNEP IRP (2011), which is downloaded, so nothing is lost but the citation.","B4 literature search, 2026-09-17",not_found
