year,series,value,unit,source,method
49,irf_co2_retained_fraction_at_horizon,0.48900446,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
50,irf_co2_retained_fraction_at_horizon,0.486508597,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
51,irf_co2_retained_fraction_at_horizon,0.484067975,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
52,irf_co2_retained_fraction_at_horizon,0.481681109,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
53,irf_co2_retained_fraction_at_horizon,0.479346559,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
54,irf_co2_retained_fraction_at_horizon,0.477062929,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
55,irf_co2_retained_fraction_at_horizon,0.474828863,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
56,irf_co2_retained_fraction_at_horizon,0.472643044,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
57,irf_co2_retained_fraction_at_horizon,0.470504192,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
58,irf_co2_retained_fraction_at_horizon,0.468411065,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
59,irf_co2_retained_fraction_at_horizon,0.466362452,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
60,irf_co2_retained_fraction_at_horizon,0.46435718,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
61,irf_co2_retained_fraction_at_horizon,0.462394106,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
62,irf_co2_retained_fraction_at_horizon,0.460472118,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
63,irf_co2_retained_fraction_at_horizon,0.458590135,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
64,irf_co2_retained_fraction_at_horizon,0.456747106,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
65,irf_co2_retained_fraction_at_horizon,0.454942008,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
66,irf_co2_retained_fraction_at_horizon,0.453173847,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
67,irf_co2_retained_fraction_at_horizon,0.451441654,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
68,irf_co2_retained_fraction_at_horizon,0.449744487,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
69,irf_co2_retained_fraction_at_horizon,0.44808143,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
70,irf_co2_retained_fraction_at_horizon,0.446451592,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
71,irf_co2_retained_fraction_at_horizon,0.444854105,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
72,irf_co2_retained_fraction_at_horizon,0.443288125,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
73,irf_co2_retained_fraction_at_horizon,0.44175283,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
74,irf_co2_retained_fraction_at_horizon,0.440247422,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
75,irf_co2_retained_fraction_at_horizon,0.438771123,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
76,irf_co2_retained_fraction_at_horizon,0.437323176,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
77,irf_co2_retained_fraction_at_horizon,0.435902844,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
78,irf_co2_retained_fraction_at_horizon,0.434509412,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
79,irf_co2_retained_fraction_at_horizon,0.433142181,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
80,irf_co2_retained_fraction_at_horizon,0.431800474,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
81,irf_co2_retained_fraction_at_horizon,0.430483631,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
82,irf_co2_retained_fraction_at_horizon,0.429191008,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
83,irf_co2_retained_fraction_at_horizon,0.427921981,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
84,irf_co2_retained_fraction_at_horizon,0.42667594,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
85,irf_co2_retained_fraction_at_horizon,0.425452295,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
86,irf_co2_retained_fraction_at_horizon,0.424250469,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
87,irf_co2_retained_fraction_at_horizon,0.423069902,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
88,irf_co2_retained_fraction_at_horizon,0.421910047,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
89,irf_co2_retained_fraction_at_horizon,0.420770374,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
90,irf_co2_retained_fraction_at_horizon,0.419650367,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
91,irf_co2_retained_fraction_at_horizon,0.418549522,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
92,irf_co2_retained_fraction_at_horizon,0.41746735,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
93,irf_co2_retained_fraction_at_horizon,0.416403375,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
94,irf_co2_retained_fraction_at_horizon,0.415357133,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
95,irf_co2_retained_fraction_at_horizon,0.414328175,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
96,irf_co2_retained_fraction_at_horizon,0.413316061,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
97,irf_co2_retained_fraction_at_horizon,0.412320363,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
98,irf_co2_retained_fraction_at_horizon,0.411340667,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
99,irf_co2_retained_fraction_at_horizon,0.410376568,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
100,irf_co2_retained_fraction_at_horizon,0.409427672,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
101,irf_co2_retained_fraction_at_horizon,0.408493596,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
102,irf_co2_retained_fraction_at_horizon,0.407573969,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
103,irf_co2_retained_fraction_at_horizon,0.406668425,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
104,irf_co2_retained_fraction_at_horizon,0.405776614,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
105,irf_co2_retained_fraction_at_horizon,0.404898191,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
106,irf_co2_retained_fraction_at_horizon,0.404032822,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
107,irf_co2_retained_fraction_at_horizon,0.403180181,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
108,irf_co2_retained_fraction_at_horizon,0.402339952,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
109,irf_co2_retained_fraction_at_horizon,0.401511826,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
110,irf_co2_retained_fraction_at_horizon,0.400695504,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
111,irf_co2_retained_fraction_at_horizon,0.399890694,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
112,irf_co2_retained_fraction_at_horizon,0.399097111,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
113,irf_co2_retained_fraction_at_horizon,0.398314479,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
114,irf_co2_retained_fraction_at_horizon,0.397542529,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
115,irf_co2_retained_fraction_at_horizon,0.396780999,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
116,irf_co2_retained_fraction_at_horizon,0.396029635,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
117,irf_co2_retained_fraction_at_horizon,0.395288187,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
118,irf_co2_retained_fraction_at_horizon,0.394556414,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
119,irf_co2_retained_fraction_at_horizon,0.393834082,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
120,irf_co2_retained_fraction_at_horizon,0.393120962,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
121,irf_co2_retained_fraction_at_horizon,0.392416831,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
122,irf_co2_retained_fraction_at_horizon,0.391721472,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
123,irf_co2_retained_fraction_at_horizon,0.391034675,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
124,irf_co2_retained_fraction_at_horizon,0.390356234,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
125,irf_co2_retained_fraction_at_horizon,0.38968595,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
126,irf_co2_retained_fraction_at_horizon,0.389023628,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
127,irf_co2_retained_fraction_at_horizon,0.388369078,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
128,irf_co2_retained_fraction_at_horizon,0.387722117,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
129,irf_co2_retained_fraction_at_horizon,0.387082565,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
130,irf_co2_retained_fraction_at_horizon,0.386450247,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
131,irf_co2_retained_fraction_at_horizon,0.385824994,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
132,irf_co2_retained_fraction_at_horizon,0.385206641,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
133,irf_co2_retained_fraction_at_horizon,0.384595026,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
134,irf_co2_retained_fraction_at_horizon,0.383989992,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
135,irf_co2_retained_fraction_at_horizon,0.383391388,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
136,irf_co2_retained_fraction_at_horizon,0.382799064,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
137,irf_co2_retained_fraction_at_horizon,0.382212876,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
138,irf_co2_retained_fraction_at_horizon,0.381632684,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
139,irf_co2_retained_fraction_at_horizon,0.38105835,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
140,irf_co2_retained_fraction_at_horizon,0.380489741,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
141,irf_co2_retained_fraction_at_horizon,0.379926727,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
142,irf_co2_retained_fraction_at_horizon,0.379369182,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
143,irf_co2_retained_fraction_at_horizon,0.378816984,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
144,irf_co2_retained_fraction_at_horizon,0.378270011,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
145,irf_co2_retained_fraction_at_horizon,0.377728148,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
146,irf_co2_retained_fraction_at_horizon,0.377191281,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
147,irf_co2_retained_fraction_at_horizon,0.3766593,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
148,irf_co2_retained_fraction_at_horizon,0.376132097,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
