year,series,region_or_material,value,unit,source,method
2011,rc,Co,32.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table D1, p. 31; estimate from Shedd, USGS (2004)",transcribed_table_point
2011,eolrr,Co,68.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table D1, p. 31; estimate from Shedd, USGS (2004)",transcribed_table_point
2011,osr,Cu,24.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table D1, p. 31; estimate from Goonan, USGS (2010a)",transcribed_table_point
2011,osr,Cu,78.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table D1, p. 31; estimate from Graedel et al. (2004)",transcribed_table_point
2011,rc,Cu,20.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table D1, p. 31; estimate from Graedel et al. (2004)",transcribed_table_point
2011,rc,Cu,30.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table D1, p. 31; estimate from Goonan, USGS (2010a)",transcribed_table_point
2011,rc,Cu,37.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table D1, p. 31; estimate from Risopatron (2009)",transcribed_table_point
2011,rc,Cu,37.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table D1, p. 31; estimate from Plachy, USGS (2004)",transcribed_table_point
2011,eolrr,Cu,43.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table D1, p. 31; estimate from Goonan, USGS (2010a)",transcribed_table_point
2011,eolrr,Cu,53.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table D1, p. 31; estimate from Graedel et al. (2004)",transcribed_table_point
2011,osr,Zn,19.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table D1, p. 31; estimate from Plachy, USGS (2004)",transcribed_table_point
2011,osr,Zn,35.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table D1, p. 31; estimate from Sempels (2009)",transcribed_table_range_low
2011,osr,Zn,40.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table D1, p. 31; estimate from Sempels (2009)",transcribed_table_range_high
2011,osr,Zn,71.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table D1, p. 31; estimate from Graedel et al. (2005)",transcribed_table_point
2011,rc,Zn,18.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table D1, p. 31; estimate from Graedel et al. (2005)",transcribed_table_point
2011,rc,Zn,27.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table D1, p. 31; estimate from Plachy, USGS (2004)",transcribed_table_point
2011,eolrr,Zn,19.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table D1, p. 31; estimate from Plachy, USGS (2004)",transcribed_table_point
2011,eolrr,Zn,35.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table D1, p. 31; estimate from Sempels (2009)",transcribed_table_range_low
