STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,OBS_STATUS_3,Observation status 3,OBS_STATUS_4,Observation status 4,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,CONVERSION_TYPE,Conversion type,BASE_PER,Base period,PRICE_BASE,Price base
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,TUR,Türkiye,A,Annual,RECOVERY,Recovery operations,T,Tonnes,2000,,239,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,TUR,Türkiye,A,Annual,LANDFILL,Landfill,T,Tonnes,2005,,25947.4,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,TUR,Türkiye,A,Annual,RECOVERY,Recovery operations,T,Tonnes,2005,,338.77,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,TUR,Türkiye,A,Annual,COMPOST,Composting,T,Tonnes,2005,,338.77,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,TUR,Türkiye,A,Annual,OTH_DISP,Other disposal,T,Tonnes,2005,,331,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,TUR,Türkiye,A,Annual,RECOVERY,Recovery operations,T,Tonnes,2007,,333.65,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,TUR,Türkiye,A,Annual,COMPOST,Composting,T,Tonnes,2007,,333.65,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,TUR,Türkiye,A,Annual,LANDFILL,Landfill,T,Tonnes,2007,,25484.35,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,TUR,Türkiye,A,Annual,OTH_DISP,Other disposal,T,Tonnes,2007,,248,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,TUR,Türkiye,A,Annual,RECOVERY,Recovery operations,T,Tonnes,2009,,315,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,TUR,Türkiye,A,Annual,COMPOST,Composting,T,Tonnes,2009,,315,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,TUR,Türkiye,A,Annual,LANDFILL,Landfill,T,Tonnes,2009,,25700,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,TUR,Türkiye,A,Annual,OTH_DISP,Other disposal,T,Tonnes,2009,,203,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,TUR,Türkiye,A,Annual,RECOVERY,Recovery operations,T,Tonnes,2011,,291,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,TUR,Türkiye,A,Annual,COMPOST,Composting,T,Tonnes,2011,,291,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,TUR,Türkiye,A,Annual,LANDFILL,Landfill,T,Tonnes,2011,,26319,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,TUR,Türkiye,A,Annual,OTH_DISP,Other disposal,T,Tonnes,2011,,170,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,TUR,Türkiye,A,Annual,RECOVERY,Recovery operations,T,Tonnes,2013,,160,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,TUR,Türkiye,A,Annual,COMPOST,Composting,T,Tonnes,2013,,160,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,TUR,Türkiye,A,Annual,LANDFILL,Landfill,T,Tonnes,2013,,25267,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,TUR,Türkiye,A,Annual,OTH_DISP,Other disposal,T,Tonnes,2013,,136,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,TUR,Türkiye,A,Annual,RECOVERY,Recovery operations,T,Tonnes,2015,,154,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,TUR,Türkiye,A,Annual,COMPOST,Composting,T,Tonnes,2015,,154,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,TUR,Türkiye,A,Annual,TREATMENT,Amounts designated for treatment operations,T,Tonnes,2015,,27584,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,TUR,Türkiye,A,Annual,LANDFILL,Landfill,T,Tonnes,2015,,27415,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,TUR,Türkiye,A,Annual,OTH_DISP,Other disposal,T,Tonnes,2015,,15,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,TUR,Türkiye,A,Annual,RECOVERY,Recovery operations,T,Tonnes,2017,,3130,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,TUR,Türkiye,A,Annual,DISPOSAL,Disposal operations,T,Tonnes,2017,,28838,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,TUR,Türkiye,A,Annual,COMPOST,Composting,T,Tonnes,2017,,148,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,TUR,Türkiye,A,Annual,RECYCLING,Recycling,T,Tonnes,2017,,2982,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
