"Country","Category","Flow name","Flow code","Flow unit","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Afghanistan","Metal ores","Raw Material Consumption","RMC","t","1127998","1013346","1107803","1176901","1178470","1093523","1144623","1050082","979233","934608","977282","1022810","1032457","966804","1164964","1140938","1235247","1349502","1362426","1393088","1378980","1237120","1348170","1675374","1327934","1218906","1270422","1600923","2091773","2008307","3029141","2958682","3366443","3454396","2762956","2418836","2075212","2065256","1742451","1889957","1999789","2089556","2667249","2851654","2969437","3033700","2997906","3217083","2991705","3189511"
"Afghanistan","Metal ores","Raw Material Equivalents of exports","RME_EXP","t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","76807","155685","103282","78704","143835","219796","239541","248002","240888","253265","252685","3809","3330","3273","2832","1660","1214","1096","10230","15323","22069","22208","23918","20400","22898"
"Afghanistan","Metal ores","Raw Material Equivalents of imports","RME_IMP","t","1127998","1013346","1107803","1176901","1178470","1093523","1144623","1050082","979233","934608","977282","1022810","1032457","966804","1164964","1140938","1235247","1349502","1362426","1393088","1378980","1237120","1348170","1675374","1327934","1146737","1214424","1577275","2087607","2004560","3026662","2949855","3352816","3408736","2704114","2333385","2071748","2062095","1739233","1886789","1996949","2086271","2663667","2838892","2948443","3020139","2985620","3206552","2977656","3178130"
"Afghanistan","Mixed and complex products nec.","Domestic Extraction","DE","t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Afghanistan","Mixed and complex products nec.","Domestic Material Consumption","DMC","t","0","48905","1476","621","14908","39393","43078","64338","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","120","130","600","1000","1300","3800","23626","34045","58582","47871","22646","579088","751526","1349290","2045668","1877092","2434181","1943283","2111175","1658550","17924","184127","19754"
"Afghanistan","Mixed and complex products nec.","Domestic Material Input","DMI","t","0","48923","1677","1252","15268","39529","43206","87947","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","120","130","600","1000","1300","3800","23626","34045","58582","47871","22646","594893","780399","1395554","2102722","2010685","2594497","2117035","2171836","1741254","17934","187543","21142"
"Afghanistan","Mixed and complex products nec.","Exports","EXP","t","0","19","201","630","361","136","128","23609","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15805","28873","46265","57054","133592","160316","173751","60660","82704","10","3417","1388"
"Afghanistan","Mixed and complex products nec.","Imports","IMP","t","0","48923","1677","1252","15268","39529","43206","87947","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","120","130","600","1000","1300","3800","23626","34045","58582","47871","22646","594893","780399","1395554","2102722","2010685","2594497","2117035","2171836","1741254","17934","187543","21142"
"Afghanistan","Mixed and complex products nec.","Physical Trade Balance","PTB","t","0","48905","1476","621","14908","39393","43078","64338","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","120","130","600","1000","1300","3800","23626","34045","58582","47871","22646","579088","751526","1349290","2045668","1877092","2434181","1943283","2111175","1658550","17924","184127","19754"
"Afghanistan","Non-metallic minerals","Domestic Extraction","DE","t","672360","647186","700077","982868","1026186","1050528","1215544","1420464","957031","1014455","378754","667675","619123","99168","757542","514690","604015","695294","700002","701328","780187","772087","872027","866527","896027","890227","896340","877540","899040","902260","503964","386332","495898","560265","582965","571698","872164","439398","495803","463752","486972","462604","690327","695852","668263","1177300","1638177","2002317","1239646","1314285"
